Rodando fsm-lite v1_0 saida TXT: para 100 amostras com 200 de maximo as 2025-08-04_06-39-51.
timestamp	cpu	mem	vsz	rss
1754300391	0.0	0.0	2500	716
1754300391	0,00	45	0,00	0,00
1754300423	0.0	0.0	2500	716
1754300423	0,00	45	0,00	0,00
1754300454	0.0	0.0	2500	716
1754300454	0,00	45	0,00	0,00
1754300485	0.0	0.0	2500	716
1754300485	0,00	45	0,00	0,00
1754300516	0.0	0.0	2500	716
1754300516	0,00	45	0,00	0,00
1754300547	0.0	0.0	2500	716
1754300547	0,00	45	0,00	0,00
1754300578	0.0	0.0	2500	716
1754300578	0,00	45	0,00	0,00
1754300609	0.0	0.0	2500	716
1754300609	0,00	45	0,00	0,00
1754300641	0.0	0.0	2500	716
1754300641	0,00	45	0,00	0,00
1754300672	0.0	0.0	2500	716
1754300672	0,00	45	0,00	0,00
1754300703	0.0	0.0	2500	716
1754300703	0,00	45	0,00	0,00
1754300734	0.0	0.0	2500	716
1754300734	0,00	45	0,00	0,00
1754300765	0.0	0.0	2500	716
1754300765	0,00	45	0,00	0,00
1754300796	0.0	0.0	2500	716
1754300796	0,00	45	0,00	0,00
1754300827	0.0	0.0	2500	716
1754300827	0,00	45	0,00	0,00
1754300858	0.0	0.0	2500	716
1754300858	0,00	45	0,00	0,00
1754300890	0.0	0.0	2500	716
1754300890	0,00	45	0,00	0,00
1754300921	0.0	0.0	2500	716
1754300921	0,00	45	0,00	0,00
1754300952	0.0	0.0	2500	716
1754300952	0,00	45	0,00	0,00
1754300983	0.0	0.0	2500	716
1754300983	0,00	45	0,00	0,00
1754301014	0.0	0.0	2500	716
1754301014	0,00	45	0,00	0,00
1754301045	0.0	0.0	2500	716
1754301045	0,00	45	0,00	0,00
1754301076	0.0	0.0	2500	716
1754301076	0,00	45	0,00	0,00
1754301108	0.0	0.0	2500	716
1754301108	0,00	45	0,00	0,00
1754301139	0.0	0.0	2500	716
1754301139	0,00	45	0,00	0,00
1754301170	0.0	0.0	2500	716
1754301170	0,00	45	0,00	0,00
1754301201	0.0	0.0	2500	716
1754301201	0,00	45	0,00	0,00
1754301232	0.0	0.0	2500	716
1754301232	0,00	45	0,00	0,00
1754301263	0.0	0.0	2500	716
1754301263	0,00	45	0,00	0,00
1754301294	0.0	0.0	2500	716
1754301294	0,00	45	0,00	0,00
1754301325	0.0	0.0	2500	716
1754301325	0,00	45	0,00	0,00
1754301357	0.0	0.0	2500	716
1754301357	0,00	45	0,00	0,00
1754301388	0.0	0.0	2500	716
1754301388	0,00	45	0,00	0,00
1754301419	0.0	0.0	2500	716
1754301419	0,00	45	0,00	0,00
1754301450	0.0	0.0	2500	716
1754301450	0,00	45	0,00	0,00
1754301481	0.0	0.0	2500	716
1754301481	0,00	45	0,00	0,00
1754301512	0.0	0.0	2500	716
1754301512	0,00	45	0,00	0,00
1754301543	0.0	0.0	2500	716
1754301543	0,00	45	0,00	0,00
1754301574	0.0	0.0	2500	716
1754301574	0,00	45	0,00	0,00
1754301606	0.0	0.0	2500	716
1754301606	0,00	45	0,00	0,00
1754301637	0.0	0.0	2500	716
1754301637	0,00	45	0,00	0,00
1754301668	0.0	0.0	2500	716
1754301668	0,00	45	0,00	0,00
1754301699	0.0	0.0	2500	716
1754301699	0,00	45	0,00	0,00
1754301730	0.0	0.0	2500	716
1754301730	0,00	45	0,00	0,00
1754301761	0.0	0.0	2500	716
1754301761	0,00	45	0,00	0,00
1754301792	0.0	0.0	2500	716
1754301792	0,00	45	0,00	0,00
1754301823	0.0	0.0	2500	716
1754301823	0,00	45	0,00	0,00
1754301855	0.0	0.0	2500	716
1754301855	0,00	45	0,00	0,00
1754301886	0.0	0.0	2500	716
1754301886	0,00	45	0,00	0,00
