Rodando fsm-lite TXT: para 10 amostras com 600 de maximo as 2025-08-02_23-27-06.
timestamp	cpu	mem	vsz	rss
1754188026	0.0	0.0	2500	716
1754188026	0,00	70	0,00	0,00
1754188058	0.0	0.0	2500	716
1754188058	0,00	70	0,00	0,00
1754188089	0.0	0.0	2500	716
1754188089	0,00	70	0,00	0,00
1754188120	0.0	0.0	2500	716
1754188120	0,00	70	0,00	0,00
1754188151	0.0	0.0	2500	716
1754188151	0,00	70	0,00	0,00
1754188182	0.0	0.0	2500	716
1754188182	0,00	70	0,00	0,00
1754188213	0.0	0.0	2500	716
1754188213	0,00	70	0,00	0,00
1754188244	0.0	0.0	2500	716
1754188244	0,00	70	0,00	0,00
1754188276	0.0	0.0	2500	716
1754188276	0,00	70	0,00	0,00
1754188307	0.0	0.0	2500	716
1754188307	0,00	70	0,00	0,00
