Rodando fsm-lite GZ: para 25 amostras com 10 de maximo as 2025-08-02_23-43-12.
timestamp	cpu	mem	vsz	rss
1754188992	0.0	0.0	9640	1808
1754188992	0,00	147	0,00	0,00
1754189023	0.0	0.0	9640	1808
1754189023	0,00	147	0,00	0,00
1754189054	0.0	0.0	9640	1808
1754189054	0,00	147	0,00	0,00
1754189085	0.0	0.0	9640	1808
1754189085	0,00	147	0,00	0,00
1754189116	0.0	0.0	9640	1808
1754189116	0,00	147	0,00	0,00
1754189147	0.0	0.0	9640	1808
1754189147	0,00	147	0,00	0,00
1754189178	0.0	0.0	9640	1808
1754189178	0,00	147	0,00	0,00
1754189209	0.0	0.0	9640	1808
1754189209	0,00	147	0,00	0,00
1754189241	0.0	0.0	9640	1808
1754189241	0,00	147	0,00	0,00
1754189272	0.0	0.0	9640	1808
1754189272	0,00	147	0,00	0,00
1754189303	0.0	0.0	9640	1808
1754189303	0,00	147	0,00	0,00
1754189334	0.0	0.0	9640	1808
1754189334	0,00	147	0,00	0,00
1754189365	0.0	0.0	9640	1808
1754189365	0,00	147	0,00	0,00
1754189396	0.0	0.0	9640	1808
1754189396	0,00	147	0,00	0,00
