Rodando fsm-lite TXT: para 10 amostras com 10 de maximo as 2025-08-02_22-56-30.
timestamp	cpu	mem	vsz	rss
1754186190	0.0	0.0	2500	652
1754186190	0,00	49	0,00	0,00
1754186221	0.0	0.0	2500	652
1754186221	0,00	49	0,00	0,00
1754186252	0.0	0.0	2500	652
1754186252	0,00	49	0,00	0,00
1754186283	0.0	0.0	2500	652
1754186283	0,00	49	0,00	0,00
1754186314	0.0	0.0	2500	652
1754186314	0,00	49	0,00	0,00
1754186345	0.0	0.0	2500	652
1754186345	0,00	49	0,00	0,00
1754186377	0.0	0.0	2500	652
1754186377	0,00	49	0,00	0,00
1754186408	0.0	0.0	2500	652
1754186408	0,00	49	0,00	0,00
1754186439	0.0	0.0	2500	652
1754186439	0,00	49	0,00	0,00
1754186470	0.0	0.0	2500	652
1754186470	0,00	49	0,00	0,00
1754186501	0.0	0.0	2500	652
1754186501	0,00	49	0,00	0,00
