Rodando fsm-lite v1_0 saida TXT: para 10 amostras com 10 de maximo as 2025-08-03_16-34-47.
timestamp	cpu	mem	vsz	rss
1754249687	0.0	0.0	2500	652
1754249687	0,00	51	0,00	0,00
1754249718	0.0	0.0	2500	652
1754249718	0,00	51	0,00	0,00
1754249749	0.0	0.0	2500	652
1754249749	0,00	51	0,00	0,00
1754249780	0.0	0.0	2500	652
1754249780	0,00	51	0,00	0,00
1754249811	0.0	0.0	2500	652
1754249811	0,00	51	0,00	0,00
1754249842	0.0	0.0	2500	652
1754249842	0,00	51	0,00	0,00
1754249873	0.0	0.0	2500	652
1754249873	0,00	51	0,00	0,00
1754249905	0.0	0.0	2500	652
1754249905	0,00	51	0,00	0,00
1754249936	0.0	0.0	2500	652
1754249936	0,00	51	0,00	0,00
