Rodando fsm-lite v1_0 saida TXT: para 50 amostras com 10 de maximo as 2025-08-03_18-03-30.
timestamp	cpu	mem	vsz	rss
1754255010	0.0	0.0	2500	712
1754255010	0,00	169	0,00	0,00
1754255042	0.0	0.0	2500	712
1754255042	0,00	169	0,00	0,00
1754255073	0.0	0.0	2500	712
1754255073	0,00	169	0,00	0,00
1754255104	0.0	0.0	2500	712
1754255104	0,00	169	0,00	0,00
1754255135	0.0	0.0	2500	712
1754255135	0,00	169	0,00	0,00
1754255166	0.0	0.0	2500	712
1754255166	0,00	169	0,00	0,00
1754255197	0.0	0.0	2500	712
1754255197	0,00	169	0,00	0,00
1754255228	0.0	0.0	2500	712
1754255228	0,00	169	0,00	0,00
1754255259	0.0	0.0	2500	712
1754255259	0,00	169	0,00	0,00
1754255291	0.0	0.0	2500	712
1754255291	0,00	169	0,00	0,00
1754255322	0.0	0.0	2500	712
1754255322	0,00	169	0,00	0,00
1754255353	0.0	0.0	2500	712
1754255353	0,00	169	0,00	0,00
1754255384	0.0	0.0	2500	712
1754255384	0,00	169	0,00	0,00
1754255415	0.0	0.0	2500	712
1754255415	0,00	169	0,00	0,00
1754255446	0.0	0.0	2500	712
1754255446	0,00	169	0,00	0,00
1754255477	0.0	0.0	2500	712
1754255477	0,00	169	0,00	0,00
1754255509	0.0	0.0	2500	712
1754255509	0,00	169	0,00	0,00
1754255540	0.0	0.0	2500	712
1754255540	0,00	169	0,00	0,00
1754255571	0.0	0.0	2500	712
1754255571	0,00	169	0,00	0,00
1754255602	0.0	0.0	2500	712
1754255602	0,00	169	0,00	0,00
1754255633	0.0	0.0	2500	712
1754255633	0,00	169	0,00	0,00
1754255664	0.0	0.0	2500	712
1754255664	0,00	169	0,00	0,00
1754255695	0.0	0.0	2500	712
1754255695	0,00	169	0,00	0,00
1754255726	0.0	0.0	2500	712
1754255726	0,00	169	0,00	0,00
1754255758	0.0	0.0	2500	712
1754255758	0,00	169	0,00	0,00
1754255789	0.0	0.0	2500	712
1754255789	0,00	169	0,00	0,00
1754255820	0.0	0.0	2500	712
1754255820	0,00	169	0,00	0,00
1754255851	0.0	0.0	2500	712
1754255851	0,00	169	0,00	0,00
1754255882	0.0	0.0	2500	712
1754255882	0,00	169	0,00	0,00
