Rodando fsm-lite v2_5 saida TXT: para 250 amostras com 600 de maximo as 2025-08-12_11-56-40.
timestamp	cpu	mem	vsz	rss
1755010600	0.0	0.0	2500	656
1755010600	0,00	11	0,00	0,00
1755010632	0.0	0.0	2500	656
1755010632	0,00	11	0,00	0,00
1755010663	0.0	0.0	2500	656
1755010663	0,00	11	0,00	0,00
1755010694	0.0	0.0	2500	656
1755010694	0,00	11	0,00	0,00
1755010725	0.0	0.0	2500	656
1755010725	0,00	11	0,00	0,00
1755010756	0.0	0.0	2500	656
1755010756	0,00	11	0,00	0,00
1755010787	0.0	0.0	2500	656
1755010787	0,00	11	0,00	0,00
1755010818	0.0	0.0	2500	656
1755010818	0,00	11	0,00	0,00
1755010850	0.0	0.0	2500	656
1755010850	0,00	11	0,00	0,00
1755010881	0.0	0.0	2500	656
1755010881	0,00	11	0,00	0,00
1755010912	0.0	0.0	2500	656
1755010912	0,00	11	0,00	0,00
1755010943	0.0	0.0	2500	656
1755010943	0,00	11	0,00	0,00
1755010974	0.0	0.0	2500	656
1755010974	0,00	11	0,00	0,00
1755011005	0.0	0.0	2500	656
1755011005	0,00	11	0,00	0,00
1755011036	0.0	0.0	2500	656
1755011036	0,00	11	0,00	0,00
1755011067	0.0	0.0	2500	656
1755011067	0,00	11	0,00	0,00
1755011099	0.0	0.0	2500	656
1755011099	0,00	11	0,00	0,00
1755011130	0.0	0.0	2500	656
1755011130	0,00	11	0,00	0,00
1755011161	0.0	0.0	2500	656
1755011161	0,00	11	0,00	0,00
1755011192	0.0	0.0	2500	656
1755011192	0,00	11	0,00	0,00
1755011223	0.0	0.0	2500	656
1755011223	0,00	11	0,00	0,00
1755011254	0.0	0.0	2500	656
1755011254	0,00	11	0,00	0,00
1755011285	0.0	0.0	2500	656
1755011285	0,00	11	0,00	0,00
1755011317	0.0	0.0	2500	656
1755011317	0,00	11	0,00	0,00
1755011348	0.0	0.0	2500	656
1755011348	0,00	11	0,00	0,00
1755011379	0.0	0.0	2500	656
1755011379	0,00	11	0,00	0,00
1755011410	0.0	0.0	2500	656
1755011410	0,00	11	0,00	0,00
1755011441	0.0	0.0	2500	656
1755011441	0,00	11	0,00	0,00
1755011472	0.0	0.0	2500	656
1755011472	0,00	11	0,00	0,00
1755011503	0.0	0.0	2500	656
1755011503	0,00	11	0,00	0,00
1755011535	0.0	0.0	2500	656
1755011535	0,00	11	0,00	0,00
1755011566	0.0	0.0	2500	656
1755011566	0,00	11	0,00	0,00
1755011597	0.0	0.0	2500	656
1755011597	0,00	11	0,00	0,00
1755011628	0.0	0.0	2500	656
1755011628	0,00	11	0,00	0,00
1755011659	0.0	0.0	2500	656
1755011659	0,00	11	0,00	0,00
1755011690	0.0	0.0	2500	656
1755011690	0,00	11	0,00	0,00
1755011721	0.0	0.0	2500	656
1755011721	0,00	11	0,00	0,00
1755011753	0.0	0.0	2500	656
1755011753	0,00	11	0,00	0,00
1755011784	0.0	0.0	2500	656
1755011784	0,00	11	0,00	0,00
1755011815	0.0	0.0	2500	656
1755011815	0,00	11	0,00	0,00
1755011846	0.0	0.0	2500	656
1755011846	0,00	11	0,00	0,00
1755011877	0.0	0.0	2500	656
1755011877	0,00	11	0,00	0,00
1755011908	0.0	0.0	2500	656
1755011908	0,00	11	0,00	0,00
1755011939	0.0	0.0	2500	656
1755011939	0,00	11	0,00	0,00
1755011971	0.0	0.0	2500	656
1755011971	0,00	11	0,00	0,00
1755012002	0.0	0.0	2500	656
1755012002	0,00	11	0,00	0,00
1755012033	0.0	0.0	2500	656
1755012033	0,00	11	0,00	0,00
1755012064	0.0	0.0	2500	656
1755012064	0,00	11	0,00	0,00
1755012095	0.0	0.0	2500	656
1755012095	0,00	11	0,00	0,00
1755012126	0.0	0.0	2500	656
1755012126	0,00	11	0,00	0,00
1755012157	0.0	0.0	2500	656
1755012157	0,00	11	0,00	0,00
1755012189	0.0	0.0	2500	656
1755012189	0,00	11	0,00	0,00
1755012220	0.0	0.0	2500	656
1755012220	0,00	11	0,00	0,00
1755012251	0.0	0.0	2500	656
1755012251	0,00	11	0,00	0,00
1755012282	0.0	0.0	2500	656
1755012282	0,00	11	0,00	0,00
1755012313	0.0	0.0	2500	656
1755012313	0,00	11	0,00	0,00
1755012344	0.0	0.0	2500	656
1755012344	0,00	11	0,00	0,00
1755012375	0.0	0.0	2500	656
1755012375	0,00	11	0,00	0,00
1755012407	0.0	0.0	2500	656
1755012407	0,00	11	0,00	0,00
1755012438	0.0	0.0	2500	656
1755012438	0,00	11	0,00	0,00
1755012469	0.0	0.0	2500	656
1755012469	0,00	11	0,00	0,00
1755012500	0.0	0.0	2500	656
1755012500	0,00	11	0,00	0,00
1755012531	0.0	0.0	2500	656
1755012531	0,00	11	0,00	0,00
1755012562	0.0	0.0	2500	656
1755012562	0,00	11	0,00	0,00
1755012593	0.0	0.0	2500	656
1755012593	0,00	11	0,00	0,00
1755012625	0.0	0.0	2500	656
1755012625	0,00	11	0,00	0,00
1755012656	0.0	0.0	2500	656
1755012656	0,00	11	0,00	0,00
1755012687	0.0	0.0	2500	656
1755012687	0,00	11	0,00	0,00
1755012718	0.0	0.0	2500	656
1755012718	0,00	11	0,00	0,00
1755012749	0.0	0.0	2500	656
1755012749	0,00	11	0,00	0,00
1755012780	0.0	0.0	2500	656
1755012780	0,00	11	0,00	0,00
1755012811	0.0	0.0	2500	656
1755012811	0,00	11	0,00	0,00
1755012843	0.0	0.0	2500	656
1755012843	0,00	11	0,00	0,00
1755012874	0.0	0.0	2500	656
1755012874	0,00	11	0,00	0,00
1755012905	0.0	0.0	2500	656
1755012905	0,00	11	0,00	0,00
1755012936	0.0	0.0	2500	656
1755012936	0,00	11	0,00	0,00
1755012967	0.0	0.0	2500	656
1755012967	0,00	11	0,00	0,00
1755012998	0.0	0.0	2500	656
1755012998	0,00	11	0,00	0,00
1755013029	0.0	0.0	2500	656
1755013029	0,00	11	0,00	0,00
1755013060	0.0	0.0	2500	656
1755013060	0,00	11	0,00	0,00
1755013092	0.0	0.0	2500	656
1755013092	0,00	11	0,00	0,00
1755013123	0.0	0.0	2500	656
1755013123	0,00	11	0,00	0,00
1755013154	0.0	0.0	2500	656
1755013154	0,00	11	0,00	0,00
1755013185	0.0	0.0	2500	656
1755013185	0,00	11	0,00	0,00
1755013216	0.0	0.0	2500	656
1755013216	0,00	11	0,00	0,00
1755013247	0.0	0.0	2500	656
1755013247	0,00	11	0,00	0,00
1755013278	0.0	0.0	2500	656
1755013278	0,00	11	0,00	0,00
1755013310	0.0	0.0	2500	656
1755013310	0,00	11	0,00	0,00
1755013341	0.0	0.0	2500	656
1755013341	0,00	11	0,00	0,00
1755013372	0.0	0.0	2500	656
1755013372	0,00	11	0,00	0,00
1755013403	0.0	0.0	2500	656
1755013403	0,00	11	0,00	0,00
1755013434	0.0	0.0	2500	656
1755013434	0,00	11	0,00	0,00
1755013465	0.0	0.0	2500	656
1755013465	0,00	11	0,00	0,00
1755013496	0.0	0.0	2500	656
1755013496	0,00	11	0,00	0,00
1755013528	0.0	0.0	2500	656
1755013528	0,00	11	0,00	0,00
1755013559	0.0	0.0	2500	656
1755013559	0,00	11	0,00	0,00
1755013590	0.0	0.0	2500	656
1755013590	0,00	11	0,00	0,00
1755013621	0.0	0.0	2500	656
1755013621	0,00	11	0,00	0,00
1755013652	0.0	0.0	2500	656
1755013652	0,00	11	0,00	0,00
1755013683	0.0	0.0	2500	656
1755013683	0,00	11	0,00	0,00
1755013714	0.0	0.0	2500	656
1755013714	0,00	11	0,00	0,00
1755013745	0.0	0.0	2500	656
1755013745	0,00	11	0,00	0,00
1755013777	0.0	0.0	2500	656
1755013777	0,00	11	0,00	0,00
1755013808	0.0	0.0	2500	656
1755013808	0,00	11	0,00	0,00
1755013839	0.0	0.0	2500	656
1755013839	0,00	11	0,00	0,00
1755013870	0.0	0.0	2500	656
1755013870	0,00	11	0,00	0,00
1755013901	0.0	0.0	2500	656
1755013901	0,00	11	0,00	0,00
1755013932	0.0	0.0	2500	656
1755013932	0,00	11	0,00	0,00
1755013963	0.0	0.0	2500	656
1755013963	0,00	11	0,00	0,00
1755013995	0.0	0.0	2500	656
1755013995	0,00	11	0,00	0,00
1755014026	0.0	0.0	2500	656
1755014026	0,00	11	0,00	0,00
1755014057	0.0	0.0	2500	656
1755014057	0,00	11	0,00	0,00
1755014088	0.0	0.0	2500	656
1755014088	0,00	11	0,00	0,00
1755014119	0.0	0.0	2500	656
1755014119	0,00	11	0,00	0,00
1755014150	0.0	0.0	2500	656
1755014150	0,00	11	0,00	0,00
1755014181	0.0	0.0	2500	656
1755014181	0,00	11	0,00	0,00
1755014212	0.0	0.0	2500	656
1755014212	0,00	11	0,00	0,00
1755014244	0.0	0.0	2500	656
1755014244	0,00	11	0,00	0,00
1755014275	0.0	0.0	2500	656
1755014275	0,00	11	0,00	0,00
1755014306	0.0	0.0	2500	656
1755014306	0,00	11	0,00	0,00
1755014337	0.0	0.0	2500	656
1755014337	0,00	11	0,00	0,00
1755014368	0.0	0.0	2500	656
1755014368	0,00	11	0,00	0,00
1755014399	0.0	0.0	2500	656
1755014399	0,00	11	0,00	0,00
1755014430	0.0	0.0	2500	656
1755014430	0,00	11	0,00	0,00
1755014462	0.0	0.0	2500	656
1755014462	0,00	11	0,00	0,00
1755014493	0.0	0.0	2500	656
1755014493	0,00	11	0,00	0,00
1755014524	0.0	0.0	2500	656
1755014524	0,00	11	0,00	0,00
1755014555	0.0	0.0	2500	656
1755014555	0,00	11	0,00	0,00
1755014586	0.0	0.0	2500	656
1755014586	0,00	11	0,00	0,00
1755014617	0.0	0.0	2500	656
1755014617	0,00	11	0,00	0,00
1755014648	0.0	0.0	2500	656
1755014648	0,00	11	0,00	0,00
1755014680	0.0	0.0	2500	656
1755014680	0,00	11	0,00	0,00
1755014711	0.0	0.0	2500	656
1755014711	0,00	11	0,00	0,00
1755014742	0.0	0.0	2500	656
1755014742	0,00	11	0,00	0,00
1755014773	0.0	0.0	2500	656
1755014773	0,00	11	0,00	0,00
1755014804	0.0	0.0	2500	656
1755014804	0,00	11	0,00	0,00
1755014835	0.0	0.0	2500	656
1755014835	0,00	11	0,00	0,00
1755014866	0.0	0.0	2500	656
1755014866	0,00	11	0,00	0,00
1755014897	0.0	0.0	2500	656
1755014897	0,00	11	0,00	0,00
1755014929	0.0	0.0	2500	656
1755014929	0,00	11	0,00	0,00
1755014960	0.0	0.0	2500	656
1755014960	0,00	11	0,00	0,00
1755014991	0.0	0.0	2500	656
1755014991	0,00	11	0,00	0,00
1755015022	0.0	0.0	2500	656
1755015022	0,00	11	0,00	0,00
1755015053	0.0	0.0	2500	656
1755015053	0,00	11	0,00	0,00
1755015084	0.0	0.0	2500	656
1755015084	0,00	11	0,00	0,00
1755015115	0.0	0.0	2500	656
1755015115	0,00	11	0,00	0,00
1755015147	0.0	0.0	2500	656
1755015147	0,00	11	0,00	0,00
1755015178	0.0	0.0	2500	656
1755015178	0,00	11	0,00	0,00
1755015209	0.0	0.0	2500	656
1755015209	0,00	11	0,00	0,00
