"arquivo","versao","genomas","max_param","tipo_output","timestamp","elapsed_sec","user_time","system_time","cpu_percent","max_rss_mb"
"fsm_output_log_v2_0_100genomas_600_max_TXT--2025-08-05_19-51-02.txt","v2_0_100",100,600,"TXT","2025-08-05_19-51-02",1030.04,974.76,45.61,99,7734.19
"fsm_output_log_v2_0_100genomas_600_max_TXT--2025-08-05_23-45-00.txt","v2_0_100",100,600,"TXT","2025-08-05_23-45-00",2444.87,2373.01,62.58,99,7734.37
"fsm_output_log_v2_0_250genomas_600_max_TXT--2025-08-05_20-08-40.txt","v2_0_250",250,600,"TXT","2025-08-05_20-08-40",2582.77,2421.71,132.22,98,18454.22
"fsm_output_log_v2_0_250genomas_600_max_TXT--2025-08-06_00-26-00.txt","v2_0_250",250,600,"TXT","2025-08-06_00-26-00",87,5027.56,187.4,99,19390.47
"fsm_output_log_v2_0_25genomas_600_max_TXT--2025-08-05_19-46-52.txt","v2_0_25",25,600,"TXT","2025-08-05_19-46-52",219.52,206.92,10.03,98,1794.48
"fsm_output_log_v2_0_25genomas_600_max_TXT--2025-08-05_23-30-28.txt","v2_0_25",25,600,"TXT","2025-08-05_23-30-28",844.53,829.28,12.24,99,1794.62
