Rodando fsm-lite v2_1 saida TXT: para 25 amostras com 600 de maximo as 2025-08-06_01-53-43.
timestamp	cpu	mem	vsz	rss
1754456023	0.0	0.0	2500	720
1754456023	0,00	153	0,00	0,00
1754456054	0.0	0.0	2500	720
1754456054	0,00	153	0,00	0,00
1754456085	0.0	0.0	2500	720
1754456085	0,00	153	0,00	0,00
1754456116	0.0	0.0	2500	720
1754456116	0,00	153	0,00	0,00
1754456147	0.0	0.0	2500	720
1754456147	0,00	153	0,00	0,00
1754456178	0.0	0.0	2500	720
1754456178	0,00	153	0,00	0,00
1754456209	0.0	0.0	2500	720
1754456209	0,00	153	0,00	0,00
1754456240	0.0	0.0	2500	720
1754456240	0,00	153	0,00	0,00
1754456272	0.0	0.0	2500	720
1754456272	0,00	153	0,00	0,00
1754456303	0.0	0.0	2500	720
1754456303	0,00	153	0,00	0,00
1754456334	0.0	0.0	2500	720
1754456334	0,00	153	0,00	0,00
1754456365	0.0	0.0	2500	720
1754456365	0,00	153	0,00	0,00
1754456396	0.0	0.0	2500	720
1754456396	0,00	153	0,00	0,00
1754456427	0.0	0.0	2500	720
1754456427	0,00	153	0,00	0,00
1754456458	0.0	0.0	2500	720
1754456458	0,00	153	0,00	0,00
1754456490	0.0	0.0	2500	720
1754456490	0,00	153	0,00	0,00
1754456521	0.0	0.0	2500	720
1754456521	0,00	153	0,00	0,00
1754456552	0.0	0.0	2500	720
1754456552	0,00	153	0,00	0,00
1754456583	0.0	0.0	2500	720
1754456583	0,00	153	0,00	0,00
1754456614	0.0	0.0	2500	720
1754456614	0,00	153	0,00	0,00
1754456645	0.0	0.0	2500	720
1754456645	0,00	153	0,00	0,00
1754456676	0.0	0.0	2500	720
1754456676	0,00	153	0,00	0,00
1754456707	0.0	0.0	2500	720
1754456707	0,00	153	0,00	0,00
1754456739	0.0	0.0	2500	720
1754456739	0,00	153	0,00	0,00
1754456770	0.0	0.0	2500	720
1754456770	0,00	153	0,00	0,00
1754456801	0.0	0.0	2500	720
1754456801	0,00	153	0,00	0,00
1754456832	0.0	0.0	2500	720
1754456832	0,00	153	0,00	0,00
1754456863	0.0	0.0	2500	720
1754456863	0,00	153	0,00	0,00
1754456894	0.0	0.0	2500	720
1754456894	0,00	153	0,00	0,00
